ID caso,Año de los casos,Rango de edad de la víctima,Departamento,Mes,Tipo de violencia,Acciones preventivas,Autoidentificadores étnicos,Centro utilizado,Denuncia realizada,Estado de la denuncia
1123,2021,25-34,Moquegua,Febrero,Violencia doméstica,Programas de educación indígena,Blanco,CEM,Sí,Cerrada
1124,2018,55 o más,San Martín,Marzo,Violencia de pareja,Programas de educación indígena,Afrodescendiente,Centro de Salud,No,-
1125,2019,45-54,Lambayeque,Diciembre,Violencia familiar,Asesoramiento legal,Mestizo,Centro de Salud,Sí,En proceso
1126,2023,12-17,Tacna,Agosto,Violencia de pareja,Asesoramiento legal,Blanco,CEM,No,-
1127,2019,35-44,Ica,Junio,Violencia familiar,Asesoramiento legal,Indígena amazónico,Centro de Salud,No,-
1128,2022,12-17,San Martín,Febrero,Agresión sexual,Asesoramiento legal,Afrodescendiente,Comisaria,No,-
1129,2022,12-17,Apurimac,Junio,Violencia de pareja,Programas de educación indígena,Mestizo,Centro de Salud,Sí,Cerrada
1130,2018,55 o más,Huanuco,Mayo,Agresión sexual,Atención psicológica,Quechua,CEM,Sí,Cerrada
1131,2023,35-44,Lima,Julio,Violencia de pareja,Talleres de prevención,Mestizo,Comisaria,Sí,Cerrada
1132,2021,0-5,Lambayeque,Octubre,Violencia de pareja,Programas de educación indígena,Blanco,Comisaria,No,-
1133,2023,25-34,Ancash,Noviembre,Agresión sexual,Asesoramiento legal,Quechua,Centro de Salud,Sí,En investigación
1134,2021,55 o más,Arequipa,Mayo,Violencia doméstica,Atención psicológica,Mestizo,Línea 100,No,-
1135,2022,6-11,Callao,Julio,Violencia familiar,Campañas de sensibilización,Quechua,CEM,No,-
1136,2021,12-17,Ayacucho,Febrero,Agresión sexual,Atención psicológica,Quechua,CEM,Sí,En investigación
1137,2023,6-11,Huanuco,Diciembre,Violencia de pareja,Atención psicológica,Afrodescendiente,Comisaria,No,-
1138,2019,0-5,Ucayali,Diciembre,Violencia de género,Talleres de prevención,Afrodescendiente,Línea 100,No,-
1139,2018,45-54,Apurimac,Octubre,Violencia de género,Asesoramiento legal,Mestizo,Comisaria,Sí,En investigación
1140,2022,25-34,Amazonas,Marzo,Violencia de pareja,Asesoramiento legal,Indígena amazónico,Centro de Salud,No,-
1141,2022,35-44,Madre de Dios,Septiembre,Violencia de género,Programas de educación indígena,Mestizo,Línea 100,Sí,Pendiente
1142,2021,18-24,Piura,Mayo,Violencia familiar,Programas de educación indígena,Afrodescendiente,Línea 100,Sí,Cerrada
1143,2022,0-5,San Martín,Enero,Agresión sexual,Campañas de sensibilización,Indígena amazónico,CEM,Sí,Pendiente
1144,2022,12-17,Apurimac,Agosto,Violencia doméstica,Asesoramiento legal,Blanco,Centro de Salud,Sí,Cerrada
1145,2020,12-17,Callao,Septiembre,Violencia de género,Campañas de sensibilización,Blanco,CEM,Sí,En investigación
1146,2018,6-11,Madre de Dios,Marzo,Agresión sexual,Campañas de sensibilización,Blanco,Comisaria,No,-
1147,2021,6-11,Puno,Diciembre,Violencia familiar,Atención psicológica,Mestizo,Comisaria,No,-
1148,2018,55 o más,Moquegua,Mayo,Violencia doméstica,Atención psicológica,Afrodescendiente,CEM,No,-
1149,2019,6-11,La Libertad,Diciembre,Violencia doméstica,Atención psicológica,Mestizo,CEM,No,-
1150,2021,12-17,Lima,Mayo,Violencia de género,Talleres de prevención,Blanco,CEM,No,-
1151,2021,0-5,San Martín,Marzo,Violencia de pareja,Talleres de prevención,Blanco,Línea 100,Sí,En investigación
1152,2020,18-24,Moquegua,Junio,Violencia doméstica,Atención psicológica,Mestizo,Comisaria,Sí,Pendiente
1153,2021,45-54,Ucayali,Abril,Violencia de género,Campañas de sensibilización,Indígena amazónico,CEM,Sí,Cerrada
1154,2021,12-17,Puno,Julio,Violencia de pareja,Programas de educación indígena,Afrodescendiente,Centro de Salud,No,-
1155,2022,18-24,Apurimac,Julio,Violencia de pareja,Atención psicológica,Mestizo,Línea 100,Sí,En investigación
1156,2023,35-44,Huancavelica,Noviembre,Violencia doméstica,Campañas de sensibilización,Quechua,Línea 100,Sí,Pendiente
1157,2021,18-24,Apurimac,Enero,Violencia de pareja,Programas de educación indígena,Mestizo,CEM,Sí,En investigación
1158,2019,0-5,Loreto,Octubre,Agresión sexual,Talleres de prevención,Afrodescendiente,Línea 100,Sí,En investigación
1159,2021,0-5,La Libertad,Diciembre,Violencia de pareja,Asesoramiento legal,Blanco,Comisaria,No,-
1160,2023,25-34,Junín,Junio,Violencia de género,Programas de educación indígena,Afrodescendiente,Comisaria,Sí,Pendiente
1161,2018,35-44,Junín,Enero,Violencia familiar,Atención psicológica,Indígena amazónico,Centro de Salud,Sí,En investigación
1162,2021,18-24,Lambayeque,Junio,Violencia familiar,Programas de educación indígena,Mestizo,Línea 100,Sí,En proceso
1163,2020,18-24,Tumbes,Septiembre,Agresión sexual,Asesoramiento legal,Blanco,Línea 100,No,-
1164,2020,35-44,Ica,Marzo,Violencia de pareja,Asesoramiento legal,Mestizo,Línea 100,Sí,En investigación
1165,2021,12-17,Ica,Diciembre,Violencia de género,Atención psicológica,Quechua,CEM,No,-
1166,2019,0-5,Amazonas,Noviembre,Agresión sexual,Campañas de sensibilización,Indígena amazónico,Línea 100,Sí,Cerrada
1167,2019,18-24,Huanuco,Febrero,Violencia familiar,Talleres de prevención,Quechua,Centro de Salud,No,-
1168,2020,12-17,Arequipa,Octubre,Violencia familiar,Atención psicológica,Quechua,Centro de Salud,Sí,En proceso
1169,2019,6-11,Madre de Dios,Octubre,Agresión sexual,Campañas de sensibilización,Blanco,Centro de Salud,Sí,Cerrada
1170,2019,0-5,Cajamarca,Mayo,Agresión sexual,Talleres de prevención,Quechua,CEM,No,-
1171,2021,25-34,Arequipa,Agosto,Violencia de pareja,Campañas de sensibilización,Quechua,Línea 100,Sí,Pendiente
1172,2018,0-5,La Libertad,Septiembre,Agresión sexual,Campañas de sensibilización,Blanco,Comisaria,No,-
1173,2020,6-11,San Martín,Septiembre,Violencia de pareja,Campañas de sensibilización,Blanco,Centro de Salud,Sí,En proceso
1174,2019,18-24,Amazonas,Octubre,Violencia familiar,Campañas de sensibilización,Quechua,CEM,Sí,En investigación
1175,2018,55 o más,Lambayeque,Julio,Agresión sexual,Campañas de sensibilización,Afrodescendiente,Línea 100,Sí,Pendiente
1176,2023,35-44,Loreto,Agosto,Violencia de pareja,Campañas de sensibilización,Afrodescendiente,Línea 100,No,-
1177,2022,55 o más,Tacna,Septiembre,Violencia doméstica,Talleres de prevención,Indígena amazónico,CEM,Sí,En investigación
1178,2022,6-11,Ucayali,Junio,Violencia de género,Asesoramiento legal,Indígena amazónico,CEM,No,-
1179,2023,45-54,Pasco,Marzo,Violencia doméstica,Talleres de prevención,Afrodescendiente,Comisaria,Sí,En investigación
1180,2023,12-17,Apurimac,Diciembre,Agresión sexual,Talleres de prevención,Blanco,Centro de Salud,Sí,Pendiente
1181,2019,25-34,Lima,Enero,Violencia familiar,Campañas de sensibilización,Afrodescendiente,Centro de Salud,Sí,En proceso
1182,2021,12-17,Tacna,Septiembre,Agresión sexual,Asesoramiento legal,Blanco,Centro de Salud,Sí,En investigación
1183,2020,12-17,San Martín,Julio,Violencia doméstica,Campañas de sensibilización,Afrodescendiente,Comisaria,Sí,Cerrada
1184,2023,6-11,Ayacucho,Agosto,Violencia doméstica,Atención psicológica,Indígena amazónico,Comisaria,Sí,Cerrada
1185,2021,0-5,Loreto,Junio,Violencia doméstica,Atención psicológica,Afrodescendiente,Comisaria,No,-
1186,2018,6-11,Cajamarca,Noviembre,Agresión sexual,Campañas de sensibilización,Afrodescendiente,CEM,Sí,Cerrada
1187,2023,45-54,Arequipa,Julio,Violencia doméstica,Campañas de sensibilización,Quechua,CEM,Sí,Pendiente
1188,2022,12-17,Junín,Mayo,Violencia doméstica,Talleres de prevención,Quechua,Centro de Salud,Sí,Cerrada
1189,2019,45-54,Tacna,Enero,Violencia familiar,Atención psicológica,Afrodescendiente,CEM,No,-
1190,2021,55 o más,Huanuco,Octubre,Violencia de género,Talleres de prevención,Indígena amazónico,CEM,Sí,Pendiente
1191,2019,0-5,Puno,Octubre,Violencia de pareja,Talleres de prevención,Quechua,CEM,Sí,Pendiente
1192,2022,45-54,Pasco,Abril,Violencia de pareja,Asesoramiento legal,Quechua,CEM,Sí,En proceso
1193,2020,35-44,Tacna,Noviembre,Violencia de género,Programas de educación indígena,Afrodescendiente,Línea 100,No,-
1194,2019,0-5,Pasco,Mayo,Violencia de género,Asesoramiento legal,Mestizo,Línea 100,Sí,En investigación
1195,2022,18-24,Ica,Diciembre,Violencia familiar,Atención psicológica,Afrodescendiente,Comisaria,Sí,Cerrada
1196,2023,18-24,Tumbes,Noviembre,Violencia de género,Atención psicológica,Quechua,Centro de Salud,Sí,En investigación
1197,2023,18-24,Tumbes,Junio,Violencia doméstica,Programas de educación indígena,Mestizo,Centro de Salud,Sí,En investigación
1198,2018,12-17,Cajamarca,Diciembre,Agresión sexual,Atención psicológica,Mestizo,CEM,No,-
1199,2023,55 o más,Tacna,Enero,Agresión sexual,Atención psicológica,Mestizo,Centro de Salud,No,-
1200,2022,0-5,Huanuco,Julio,Violencia familiar,Atención psicológica,Quechua,Línea 100,No,-
1201,2021,0-5,Ica,Abril,Violencia doméstica,Asesoramiento legal,Indígena amazónico,Comisaria,No,-
1202,2021,6-11,Moquegua,Junio,Violencia doméstica,Talleres de prevención,Blanco,Centro de Salud,No,-
1203,2023,6-11,Tumbes,Febrero,Violencia doméstica,Talleres de prevención,Mestizo,CEM,No,-
1204,2018,25-34,Ancash,Noviembre,Violencia de género,Asesoramiento legal,Afrodescendiente,CEM,Sí,En proceso
1205,2023,12-17,Pasco,Julio,Agresión sexual,Atención psicológica,Mestizo,Centro de Salud,No,-
1206,2019,6-11,Arequipa,Octubre,Agresión sexual,Talleres de prevención,Afrodescendiente,Centro de Salud,Sí,En proceso
1207,2018,0-5,Madre de Dios,Octubre,Violencia doméstica,Campañas de sensibilización,Afrodescendiente,Centro de Salud,No,-
1208,2021,35-44,Cajamarca,Abril,Violencia de pareja,Programas de educación indígena,Indígena amazónico,Línea 100,No,-
1209,2021,35-44,Madre de Dios,Julio,Violencia doméstica,Atención psicológica,Mestizo,Línea 100,Sí,Cerrada
1210,2023,18-24,Tacna,Marzo,Violencia doméstica,Programas de educación indígena,Quechua,Centro de Salud,Sí,Pendiente
1211,2022,6-11,La Libertad,Julio,Violencia de género,Talleres de prevención,Blanco,Centro de Salud,Sí,En proceso
1212,2020,18-24,Huancavelica,Diciembre,Agresión sexual,Campañas de sensibilización,Mestizo,CEM,Sí,En investigación
1213,2019,45-54,Huancavelica,Julio,Violencia doméstica,Campañas de sensibilización,Mestizo,Centro de Salud,Sí,En investigación
1214,2023,6-11,Ayacucho,Julio,Violencia doméstica,Asesoramiento legal,Mestizo,Línea 100,Sí,En investigación
1215,2022,45-54,Cusco,Septiembre,Violencia de género,Campañas de sensibilización,Mestizo,Comisaria,Sí,En investigación
1216,2022,35-44,Pasco,Mayo,Violencia familiar,Talleres de prevención,Indígena amazónico,Centro de Salud,No,-
1217,2018,6-11,Lambayeque,Diciembre,Violencia de pareja,Atención psicológica,Afrodescendiente,CEM,No,-
1218,2023,6-11,Tacna,Agosto,Violencia de género,Campañas de sensibilización,Mestizo,Línea 100,Sí,Cerrada
1219,2019,35-44,Puno,Septiembre,Violencia de género,Programas de educación indígena,Indígena amazónico,Comisaria,No,-
1220,2021,0-5,Tumbes,Abril,Violencia de género,Atención psicológica,Indígena amazónico,CEM,No,-
1221,2023,12-17,Tumbes,Mayo,Violencia doméstica,Talleres de prevención,Indígena amazónico,Centro de Salud,Sí,Pendiente
1222,2019,55 o más,Cajamarca,Septiembre,Violencia de pareja,Atención psicológica,Blanco,CEM,Sí,En investigación
1223,2018,6-11,Amazonas,Enero,Agresión sexual,Talleres de prevención,Blanco,CEM,No,-
1224,2018,25-34,Lima,Diciembre,Violencia de pareja,Talleres de prevención,Quechua,Centro de Salud,No,-
1225,2021,55 o más,Arequipa,Septiembre,Violencia familiar,Asesoramiento legal,Blanco,Línea 100,Sí,Cerrada
1226,2023,35-44,Tacna,Marzo,Violencia doméstica,Talleres de prevención,Mestizo,CEM,No,-
1227,2021,35-44,La Libertad,Marzo,Violencia doméstica,Asesoramiento legal,Mestizo,Centro de Salud,Sí,En proceso
1228,2021,6-11,Ica,Febrero,Violencia familiar,Atención psicológica,Afrodescendiente,Comisaria,Sí,Cerrada
1229,2022,55 o más,Lima,Marzo,Violencia doméstica,Atención psicológica,Indígena amazónico,Centro de Salud,Sí,Cerrada
1230,2018,0-5,Arequipa,Abril,Violencia familiar,Programas de educación indígena,Indígena amazónico,Comisaria,Sí,En proceso
1231,2023,35-44,Callao,Febrero,Agresión sexual,Campañas de sensibilización,Indígena amazónico,Comisaria,Sí,En proceso
1232,2021,25-34,Moquegua,Septiembre,Violencia doméstica,Programas de educación indígena,Quechua,CEM,No,-
1233,2020,12-17,Puno,Noviembre,Violencia familiar,Talleres de prevención,Blanco,Centro de Salud,No,-
1234,2023,35-44,Piura,Febrero,Violencia familiar,Asesoramiento legal,Mestizo,Centro de Salud,No,-
1235,2018,45-54,Piura,Agosto,Agresión sexual,Asesoramiento legal,Blanco,Centro de Salud,No,-
1236,2018,35-44,La Libertad,Marzo,Violencia de pareja,Asesoramiento legal,Indígena amazónico,CEM,No,-
1237,2021,18-24,Amazonas,Marzo,Violencia de pareja,Asesoramiento legal,Quechua,Línea 100,Sí,Pendiente
1238,2023,25-34,La Libertad,Noviembre,Violencia doméstica,Programas de educación indígena,Quechua,CEM,Sí,Cerrada
1239,2023,12-17,Amazonas,Febrero,Violencia de pareja,Campañas de sensibilización,Mestizo,Comisaria,Sí,En investigación
1240,2018,6-11,Cajamarca,Abril,Violencia familiar,Atención psicológica,Blanco,Línea 100,Sí,En investigación
1241,2020,6-11,Lambayeque,Marzo,Violencia doméstica,Programas de educación indígena,Mestizo,Centro de Salud,No,-
1242,2018,45-54,Pasco,Junio,Agresión sexual,Asesoramiento legal,Afrodescendiente,Centro de Salud,Sí,Pendiente
1243,2020,25-34,Arequipa,Julio,Violencia de pareja,Asesoramiento legal,Indígena amazónico,CEM,Sí,En investigación
1244,2019,25-34,Ancash,Octubre,Agresión sexual,Atención psicológica,Afrodescendiente,Comisaria,Sí,En investigación
1245,2020,55 o más,Ica,Marzo,Violencia de género,Talleres de prevención,Quechua,Línea 100,Sí,En proceso
1246,2020,45-54,Tumbes,Octubre,Agresión sexual,Talleres de prevención,Blanco,Centro de Salud,Sí,Pendiente
1247,2022,18-24,La Libertad,Noviembre,Violencia de género,Campañas de sensibilización,Mestizo,Línea 100,No,-
1248,2021,45-54,Ancash,Diciembre,Violencia de pareja,Asesoramiento legal,Mestizo,Centro de Salud,Sí,En investigación
1249,2023,25-34,Lima,Julio,Agresión sexual,Atención psicológica,Mestizo,CEM,No,-
1250,2019,0-5,Callao,Marzo,Violencia familiar,Asesoramiento legal,Indígena amazónico,Línea 100,Sí,En proceso
1251,2020,25-34,Ancash,Agosto,Violencia familiar,Talleres de prevención,Quechua,CEM,Sí,Pendiente
1252,2022,55 o más,Ayacucho,Junio,Violencia familiar,Atención psicológica,Indígena amazónico,Línea 100,Sí,En investigación
1253,2021,12-17,Loreto,Junio,Violencia doméstica,Talleres de prevención,Afrodescendiente,Línea 100,No,-
1254,2021,12-17,Huanuco,Octubre,Violencia de género,Talleres de prevención,Blanco,Línea 100,No,-
1255,2020,0-5,Ayacucho,Diciembre,Violencia de género,Talleres de prevención,Quechua,CEM,Sí,En investigación
1256,2023,25-34,Ancash,Agosto,Violencia de género,Programas de educación indígena,Mestizo,Centro de Salud,No,-
1257,2018,12-17,Loreto,Junio,Violencia de pareja,Campañas de sensibilización,Blanco,CEM,Sí,En proceso
1258,2022,0-5,Pasco,Agosto,Agresión sexual,Atención psicológica,Quechua,Centro de Salud,Sí,Pendiente
1259,2021,12-17,Ica,Mayo,Violencia de pareja,Campañas de sensibilización,Blanco,CEM,No,-
1260,2018,45-54,Ancash,Junio,Violencia de género,Atención psicológica,Blanco,Centro de Salud,No,-
1261,2023,0-5,Ica,Junio,Violencia familiar,Programas de educación indígena,Quechua,Comisaria,Sí,En proceso
1262,2022,45-54,San Martín,Junio,Violencia de género,Asesoramiento legal,Indígena amazónico,Centro de Salud,Sí,Pendiente
1263,2023,25-34,Ancash,Enero,Violencia doméstica,Asesoramiento legal,Mestizo,Línea 100,Sí,En proceso
1264,2021,55 o más,Cusco,Mayo,Agresión sexual,Campañas de sensibilización,Mestizo,Línea 100,No,-
1265,2020,55 o más,Piura,Agosto,Violencia de género,Talleres de prevención,Quechua,Línea 100,No,-
1266,2018,12-17,Ica,Diciembre,Violencia de pareja,Atención psicológica,Blanco,Comisaria,No,-
1267,2019,12-17,Huancavelica,Marzo,Agresión sexual,Campañas de sensibilización,Indígena amazónico,Centro de Salud,No,-
1268,2021,18-24,Puno,Agosto,Violencia de género,Campañas de sensibilización,Mestizo,CEM,Sí,En investigación
1269,2023,6-11,Ica,Junio,Agresión sexual,Asesoramiento legal,Quechua,Comisaria,Sí,En proceso
1270,2022,18-24,Arequipa,Enero,Agresión sexual,Talleres de prevención,Indígena amazónico,Línea 100,No,-
1271,2018,6-11,Ayacucho,Febrero,Violencia familiar,Atención psicológica,Quechua,Centro de Salud,Sí,Pendiente
1272,2022,0-5,Tumbes,Agosto,Violencia doméstica,Programas de educación indígena,Indígena amazónico,Comisaria,Sí,Pendiente
1273,2018,18-24,Pasco,Octubre,Agresión sexual,Programas de educación indígena,Mestizo,Línea 100,No,-
1274,2020,12-17,Amazonas,Octubre,Agresión sexual,Campañas de sensibilización,Quechua,Línea 100,Sí,Cerrada
1275,2023,0-5,Ayacucho,Diciembre,Violencia de género,Atención psicológica,Mestizo,Línea 100,Sí,En investigación
1276,2020,12-17,Apurimac,Junio,Violencia de pareja,Programas de educación indígena,Afrodescendiente,CEM,Sí,Cerrada
1277,2022,25-34,Tacna,Agosto,Violencia de género,Atención psicológica,Blanco,Centro de Salud,No,-
1278,2020,35-44,Huancavelica,Enero,Agresión sexual,Campañas de sensibilización,Blanco,Comisaria,No,-
1279,2022,25-34,Tacna,Mayo,Agresión sexual,Asesoramiento legal,Indígena amazónico,CEM,Sí,En proceso
1280,2019,25-34,Madre de Dios,Octubre,Violencia familiar,Atención psicológica,Quechua,Comisaria,Sí,En investigación
1281,2023,25-34,Arequipa,Julio,Violencia de pareja,Asesoramiento legal,Mestizo,Comisaria,Sí,En investigación
1282,2021,12-17,Ancash,Mayo,Violencia de género,Talleres de prevención,Indígena amazónico,Línea 100,No,-
1283,2020,25-34,Arequipa,Noviembre,Violencia doméstica,Programas de educación indígena,Afrodescendiente,Comisaria,No,-
1284,2021,12-17,Junín,Febrero,Violencia familiar,Campañas de sensibilización,Blanco,Centro de Salud,No,-
1285,2018,25-34,La Libertad,Abril,Violencia doméstica,Programas de educación indígena,Indígena amazónico,Centro de Salud,No,-
1286,2023,45-54,Pasco,Noviembre,Violencia de género,Asesoramiento legal,Blanco,Línea 100,No,-
1287,2022,6-11,Ica,Septiembre,Violencia doméstica,Talleres de prevención,Afrodescendiente,Comisaria,No,-
1288,2020,0-5,Moquegua,Julio,Violencia familiar,Atención psicológica,Indígena amazónico,CEM,Sí,En proceso
1289,2020,35-44,Amazonas,Abril,Violencia de pareja,Asesoramiento legal,Blanco,Comisaria,No,-
1290,2020,6-11,Tacna,Febrero,Violencia de pareja,Talleres de prevención,Afrodescendiente,Centro de Salud,No,-
1291,2022,0-5,San Martín,Noviembre,Agresión sexual,Atención psicológica,Indígena amazónico,CEM,No,-
1292,2018,0-5,Loreto,Mayo,Violencia familiar,Asesoramiento legal,Blanco,CEM,No,-
1293,2018,55 o más,Ayacucho,Junio,Violencia de pareja,Asesoramiento legal,Quechua,Línea 100,No,-
1294,2020,6-11,La Libertad,Junio,Violencia doméstica,Programas de educación indígena,Quechua,Línea 100,No,-
1295,2021,12-17,Huancavelica,Febrero,Violencia doméstica,Talleres de prevención,Blanco,Comisaria,No,-
1296,2019,12-17,Moquegua,Septiembre,Violencia de género,Campañas de sensibilización,Afrodescendiente,CEM,No,-
1297,2021,45-54,Loreto,Noviembre,Violencia de género,Atención psicológica,Indígena amazónico,Comisaria,No,-
1298,2019,25-34,Lambayeque,Octubre,Agresión sexual,Asesoramiento legal,Mestizo,Centro de Salud,Sí,En proceso
1299,2018,12-17,Ucayali,Enero,Violencia de género,Talleres de prevención,Blanco,Línea 100,Sí,Pendiente
1300,2021,35-44,Lima,Febrero,Violencia doméstica,Asesoramiento legal,Mestizo,Centro de Salud,Sí,En proceso
1301,2020,45-54,Tacna,Octubre,Violencia de pareja,Atención psicológica,Indígena amazónico,Centro de Salud,Sí,Pendiente
1302,2023,12-17,Apurimac,Mayo,Violencia doméstica,Talleres de prevención,Blanco,Comisaria,No,-
1303,2020,0-5,Pasco,Mayo,Violencia familiar,Atención psicológica,Quechua,Centro de Salud,No,-
1304,2020,18-24,Junín,Abril,Violencia familiar,Talleres de prevención,Mestizo,CEM,Sí,Cerrada
1305,2019,25-34,Junín,Julio,Agresión sexual,Atención psicológica,Indígena amazónico,Línea 100,No,-
1306,2020,0-5,La Libertad,Septiembre,Agresión sexual,Programas de educación indígena,Quechua,Línea 100,No,-
1307,2021,25-34,Cusco,Noviembre,Agresión sexual,Asesoramiento legal,Mestizo,Comisaria,Sí,En proceso
1308,2020,6-11,Ucayali,Febrero,Violencia de género,Campañas de sensibilización,Afrodescendiente,Centro de Salud,Sí,En proceso
1309,2021,25-34,Ancash,Junio,Agresión sexual,Campañas de sensibilización,Indígena amazónico,Comisaria,Sí,Pendiente
1310,2023,55 o más,Piura,Agosto,Violencia doméstica,Campañas de sensibilización,Afrodescendiente,Centro de Salud,Sí,Cerrada
1311,2023,0-5,Lima,Junio,Violencia familiar,Campañas de sensibilización,Mestizo,Comisaria,No,-
1312,2018,0-5,Pasco,Noviembre,Violencia doméstica,Programas de educación indígena,Blanco,Línea 100,Sí,Pendiente
1313,2021,12-17,Ica,Febrero,Agresión sexual,Atención psicológica,Indígena amazónico,Línea 100,Sí,En proceso
1314,2019,35-44,Moquegua,Octubre,Violencia doméstica,Campañas de sensibilización,Afrodescendiente,CEM,No,-
1315,2021,45-54,Junín,Febrero,Agresión sexual,Atención psicológica,Blanco,Centro de Salud,No,-
1316,2023,55 o más,Ica,Diciembre,Agresión sexual,Campañas de sensibilización,Indígena amazónico,CEM,Sí,En proceso
1317,2019,6-11,Huancavelica,Julio,Violencia doméstica,Atención psicológica,Blanco,Centro de Salud,Sí,En proceso
1318,2021,25-34,Piura,Abril,Violencia de pareja,Programas de educación indígena,Quechua,Centro de Salud,Sí,Pendiente
1319,2019,25-34,Loreto,Abril,Violencia de género,Programas de educación indígena,Mestizo,Centro de Salud,No,-
1320,2022,45-54,La Libertad,Abril,Violencia de pareja,Campañas de sensibilización,Afrodescendiente,Comisaria,Sí,En investigación
1321,2021,35-44,Loreto,Mayo,Violencia doméstica,Campañas de sensibilización,Indígena amazónico,CEM,No,-
1322,2023,0-5,San Martín,Noviembre,Agresión sexual,Atención psicológica,Blanco,Línea 100,No,-
1323,2021,25-34,Ancash,Febrero,Violencia doméstica,Campañas de sensibilización,Blanco,Línea 100,Sí,Cerrada
1324,2019,12-17,Ica,Febrero,Violencia familiar,Atención psicológica,Afrodescendiente,Línea 100,Sí,Cerrada
1325,2019,0-5,Moquegua,Mayo,Violencia de pareja,Asesoramiento legal,Afrodescendiente,Centro de Salud,No,-
1326,2022,0-5,Puno,Marzo,Violencia de género,Campañas de sensibilización,Blanco,CEM,No,-
1327,2021,0-5,Ayacucho,Septiembre,Agresión sexual,Atención psicológica,Blanco,Línea 100,No,-
1328,2021,55 o más,Loreto,Noviembre,Violencia doméstica,Talleres de prevención,Indígena amazónico,Línea 100,No,-
1329,2021,12-17,Ancash,Enero,Agresión sexual,Programas de educación indígena,Quechua,Centro de Salud,Sí,Cerrada
1330,2019,12-17,Ica,Noviembre,Violencia familiar,Programas de educación indígena,Afrodescendiente,Centro de Salud,No,-
1331,2019,0-5,Amazonas,Julio,Violencia de género,Atención psicológica,Blanco,Comisaria,Sí,Cerrada
1332,2019,25-34,Ica,Junio,Violencia doméstica,Talleres de prevención,Quechua,CEM,Sí,En investigación
1333,2020,55 o más,Moquegua,Agosto,Violencia doméstica,Talleres de prevención,Mestizo,Línea 100,Sí,En investigación
1334,2023,0-5,Pasco,Abril,Violencia de género,Programas de educación indígena,Mestizo,Centro de Salud,Sí,Cerrada
1335,2022,6-11,Loreto,Junio,Violencia familiar,Programas de educación indígena,Indígena amazónico,Comisaria,Sí,Cerrada
1336,2021,55 o más,Cajamarca,Abril,Violencia de pareja,Asesoramiento legal,Blanco,Línea 100,Sí,En investigación
1337,2022,55 o más,Ucayali,Mayo,Violencia doméstica,Talleres de prevención,Indígena amazónico,CEM,No,-
1338,2023,55 o más,Pasco,Julio,Violencia de género,Talleres de prevención,Indígena amazónico,Línea 100,No,-
1339,2022,18-24,San Martín,Abril,Agresión sexual,Talleres de prevención,Indígena amazónico,Línea 100,No,-
1340,2020,35-44,Ucayali,Junio,Violencia familiar,Talleres de prevención,Afrodescendiente,Centro de Salud,No,-
1341,2021,12-17,Moquegua,Octubre,Agresión sexual,Campañas de sensibilización,Quechua,Centro de Salud,Sí,En investigación
1342,2023,6-11,Piura,Febrero,Agresión sexual,Asesoramiento legal,Mestizo,CEM,Sí,Cerrada
1343,2021,18-24,Cajamarca,Octubre,Violencia de pareja,Campañas de sensibilización,Blanco,Línea 100,No,-
1344,2022,55 o más,Tumbes,Enero,Violencia familiar,Talleres de prevención,Mestizo,Centro de Salud,Sí,Pendiente
1345,2022,0-5,Puno,Septiembre,Violencia doméstica,Talleres de prevención,Quechua,CEM,Sí,Pendiente
1346,2018,6-11,Pasco,Octubre,Violencia doméstica,Talleres de prevención,Mestizo,Línea 100,Sí,Cerrada
1347,2018,0-5,Arequipa,Septiembre,Violencia de pareja,Campañas de sensibilización,Blanco,Línea 100,No,-
1348,2021,18-24,Callao,Noviembre,Violencia de pareja,Programas de educación indígena,Indígena amazónico,Línea 100,No,-
1349,2021,25-34,Lambayeque,Marzo,Violencia familiar,Programas de educación indígena,Indígena amazónico,Línea 100,Sí,En investigación
1350,2020,6-11,Ica,Diciembre,Violencia de pareja,Atención psicológica,Quechua,CEM,Sí,Cerrada
1351,2018,6-11,Tacna,Agosto,Violencia de pareja,Campañas de sensibilización,Mestizo,Línea 100,No,-
1352,2019,12-17,Apurimac,Febrero,Violencia de género,Programas de educación indígena,Indígena amazónico,Línea 100,Sí,Pendiente
1353,2022,12-17,Amazonas,Julio,Violencia de pareja,Asesoramiento legal,Indígena amazónico,CEM,Sí,En investigación
1354,2019,0-5,Puno,Marzo,Violencia de pareja,Atención psicológica,Quechua,Centro de Salud,No,-
1355,2018,0-5,Arequipa,Noviembre,Violencia de pareja,Programas de educación indígena,Blanco,CEM,No,-
1356,2023,35-44,Cajamarca,Septiembre,Violencia de pareja,Talleres de prevención,Blanco,Línea 100,Sí,Cerrada
1357,2019,25-34,Ucayali,Febrero,Violencia de género,Asesoramiento legal,Mestizo,CEM,No,-
1358,2019,25-34,San Martín,Diciembre,Violencia de pareja,Programas de educación indígena,Blanco,Comisaria,No,-
1359,2019,12-17,Tacna,Mayo,Violencia doméstica,Campañas de sensibilización,Mestizo,CEM,Sí,Pendiente
1360,2020,18-24,Piura,Junio,Violencia doméstica,Asesoramiento legal,Afrodescendiente,CEM,No,-
1361,2019,45-54,Callao,Diciembre,Violencia de género,Programas de educación indígena,Quechua,Comisaria,No,-
